Running Level-1.sql
Duration: 107666.145 ms
Duration: 76346.092 ms
Duration: 99772.924 ms
Duration: 68634.888 ms
Duration: 86255.559 ms
Duration: 76913.603 ms
Duration: 93297.041 ms
Duration: 87926.292 ms
Duration: 87366.043 ms
Duration: 86154.672 ms
Running Level-2.sql
Duration: 25218.020 ms
Duration: 22053.969 ms
Duration: 21953.264 ms
Duration: 22050.052 ms
Duration: 22236.014 ms
Duration: 22122.885 ms
Duration: 22015.588 ms
Duration: 22127.804 ms
Duration: 22132.268 ms
Duration: 22053.615 ms
Running Level-3.sql
Duration: 75427.999 ms
Duration: 71686.708 ms
Duration: 72260.232 ms
Duration: 71747.507 ms
Duration: 73622.682 ms
Duration: 72315.012 ms
Duration: 71781.185 ms
Duration: 72136.768 ms
Duration: 71909.723 ms
Duration: 71845.220 ms
